trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,duration_minutes
368,2020-03-18 07:26:00,2020-03-18 07:40:00,Long,1.10142,1.10042,-0.001,SL,14.0
369,2020-03-18 07:46:00,2020-03-18 07:57:00,Short,1.09925,1.09725,0.002,TP,11.0
370,2020-03-18 08:29:00,2020-03-18 08:52:00,Long,1.09724,1.09624,-0.001,SL,23.0
371,2020-03-18 09:15:00,2020-03-18 09:36:00,Long,1.09794,1.09994,0.002,TP,21.0
372,2020-03-18 10:47:00,2020-03-18 10:47:00,Short,1.09987,1.10087,-0.001,SL,0.0
373,2020-03-18 12:00:00,2020-03-18 12:20:00,Long,1.09771,1.09671,-0.001,SL,20.0
374,2020-03-18 14:15:00,2020-03-18 14:18:00,Long,1.09085,1.08985,-0.001,SL,3.0
375,2020-03-18 14:22:00,2020-03-18 14:24:00,Short,1.08946,1.09046,-0.001,SL,2.0
376,2020-03-18 15:46:00,2020-03-18 15:55:00,Long,1.08527,1.08427,-0.001,SL,9.0
377,2020-03-18 16:38:00,2020-03-18 16:49:00,Long,1.08458,1.08358,-0.001,SL,11.0
378,2020-03-18 16:55:00,2020-03-18 17:25:00,Short,1.08174,1.08274,-0.001,SL,30.0
379,2020-03-18 17:32:00,2020-03-18 17:52:00,Long,1.08304,1.08504,0.002,TP,20.0
380,2020-03-18 18:16:00,2020-03-18 18:18:00,Short,1.08337,1.08437,-0.001,SL,2.0
